timestamp,tank1,tank2,tank3,tank4
18/05/2026 17:33,88.39,90.62,90.99,90.99
18/05/2026 17:34,88.55,90.62,89.68,90.91
18/05/2026 17:35,88.34,90.63,89.64,91.01
18/05/2026 17:36,88.42,90.62,89.78,90.94
18/05/2026 17:37,88.39,90.62,89.70,91.00
18/05/2026 17:38,88.47,90.62,89.64,92.47
18/05/2026 17:39,88.48,90.65,89.83,92.38
18/05/2026 17:40,88.37,90.67,89.70,91.93
18/05/2026 17:41,88.50,90.80,89.69,91.90
18/05/2026 17:42,88.52,90.65,89.64,91.89
