Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,T43_p3,
Order__Draw Date,2025-08-27 10:08:53.168131,
Order__Order Index,,
Order__Preform Number,T43_p3,
Order__Fiber Project,,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,TIGER - PM,
Order__Tiger Cut (%),27.0,%
Order__Octagonal F2F (mm),,mm
Order__Required Length (m) (for T&M+costumer),,m
Order__Good Zones Count (required length zones),7,count
Order__Fiber Diameter (µm),16.5,µm
Order__Main Coating Diameter (µm),,µm
Order__Secondary Coating Diameter (µm),,µm
Order__Tension (g),,g
Order__Draw Speed (m/min),,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),36.0,°C
Order__Secondary Coating Temperature (°C),24.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2025-08-27 10:08:53.168131,
Process__Preform Diameter,16.5,mm
Process__Preform Shape,Tiger Cut,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,1,bool
Process__Tiger Cut,27.0,%
Process__PM Iris System,1,bool
Process__Iris Mode,PM Auto,
Process__Base Area,,mm^2
Process__Adjusted Area,,mm^2
Process__Effective Preform Diameter,,mm
Process__Selected Iris Diameter,25.0,mm
Process__Iris Gap Area,,mm^2
Process__Entry Fiber Diameter,16.5,µm
Process__Target First Coating Diameter,,µm
Process__Target Second Coating Diameter,,µm
Process__First Coating Diameter (Theoretical),70.95863489123576,µm
Process__Second Coating Diameter (Theoretical),103.52117658184827,µm
Process__Primary Coating,DP-1032,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,36.0,°C
Process__Secondary Coating Temperature,24.0,°C
Process__Primary Die Diameter,150,µm
Process__Secondary Die Diameter,140,µm
Process__Primary Die Name,Die_150,
Process__Secondary Die Name,Die_140,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,,m/min
Process__P Gain (Diameter Control),1.0,
Process__I Gain (Diameter Control),0.4,
Process__TF Mode,Winder,
Process__Increment TF Value,0.13,mm
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2025-08-27 10:08:53.168131,
Dashboard Log File,T43_p3_27082025_150242.csv,
Good Zones Count,7,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,2025-08-27 13:58:47.255000,index/label
Zone 1 | End,2025-08-27 14:07:13.255000,index/label
Zone 1 | Bare Fibre Diameter | Avg,40.37,µm
Zone 1 | Bare Fibre Diameter | Max,46.3,µm
Zone 1 | Bare Fibre Diameter | Min,34.2,µm
Zone 1 | Capstan Speed | Avg,56.38,m/min
Zone 1 | Capstan Speed | Max,75.94,m/min
Zone 1 | Capstan Speed | Min,34.46,m/min
Zone 1 | Coated Inner Diameter | Avg,93.4,µm
Zone 1 | Coated Inner Diameter | Max,96.3,µm
Zone 1 | Coated Inner Diameter | Min,91.7,µm
Zone 1 | Coated Outer Diameter | Avg,119.77,µm
Zone 1 | Coated Outer Diameter | Max,121.2,µm
Zone 1 | Coated Outer Diameter | Min,118.6,µm
Zone 1 | Furnace DegC Actual | Avg,2309.99,C
Zone 1 | Furnace DegC Actual | Max,2310.67,C
Zone 1 | Furnace DegC Actual | Min,2309.19,C
Zone 1 | Tension N | Avg,0.03,g
Zone 1 | Tension N | Max,0.09,g
Zone 1 | Tension N | Min,-0.01,g
Zone 2 | Start,2025-08-27 14:09:20.255000,index/label
Zone 2 | End,2025-08-27 14:32:43.255000,index/label
Zone 2 | Bare Fibre Diameter | Avg,40.04,µm
Zone 2 | Bare Fibre Diameter | Max,41.5,µm
Zone 2 | Bare Fibre Diameter | Min,38.1,µm
Zone 2 | Capstan Speed | Avg,103.4,m/min
Zone 2 | Capstan Speed | Max,112.03,m/min
Zone 2 | Capstan Speed | Min,80.54,m/min
Zone 2 | Coated Inner Diameter | Avg,93.62,µm
Zone 2 | Coated Inner Diameter | Max,94.7,µm
Zone 2 | Coated Inner Diameter | Min,92.0,µm
Zone 2 | Coated Outer Diameter | Avg,119.63,µm
Zone 2 | Coated Outer Diameter | Max,121.0,µm
Zone 2 | Coated Outer Diameter | Min,118.4,µm
Zone 2 | Furnace DegC Actual | Avg,2320.01,C
Zone 2 | Furnace DegC Actual | Max,2320.74,C
Zone 2 | Furnace DegC Actual | Min,2319.27,C
Zone 2 | Tension N | Avg,-0.03,g
Zone 2 | Tension N | Max,0.04,g
Zone 2 | Tension N | Min,-0.1,g
Zone 3 | Start,2025-08-27 14:34:15.255000,index/label
Zone 3 | End,2025-08-27 14:38:05.255000,index/label
Zone 3 | Bare Fibre Diameter | Avg,40.11,µm
Zone 3 | Bare Fibre Diameter | Max,41.5,µm
Zone 3 | Bare Fibre Diameter | Min,38.8,µm
Zone 3 | Capstan Speed | Avg,109.32,m/min
Zone 3 | Capstan Speed | Max,119.14,m/min
Zone 3 | Capstan Speed | Min,104.74,m/min
Zone 3 | Coated Inner Diameter | Avg,93.95,µm
Zone 3 | Coated Inner Diameter | Max,94.4,µm
Zone 3 | Coated Inner Diameter | Min,93.3,µm
Zone 3 | Coated Outer Diameter | Avg,119.72,µm
Zone 3 | Coated Outer Diameter | Max,120.6,µm
Zone 3 | Coated Outer Diameter | Min,118.9,µm
Zone 3 | Furnace DegC Actual | Avg,2330.03,C
Zone 3 | Furnace DegC Actual | Max,2330.82,C
Zone 3 | Furnace DegC Actual | Min,2329.21,C
Zone 3 | Tension N | Avg,-0.1,g
Zone 3 | Tension N | Max,-0.04,g
Zone 3 | Tension N | Min,-0.15,g
Zone 4 | Start,2025-08-27 14:39:14.255000,index/label
Zone 4 | End,2025-08-27 14:45:23.255000,index/label
Zone 4 | Bare Fibre Diameter | Avg,39.96,µm
Zone 4 | Bare Fibre Diameter | Max,40.5,µm
Zone 4 | Bare Fibre Diameter | Min,39.4,µm
Zone 4 | Capstan Speed | Avg,118.34,m/min
Zone 4 | Capstan Speed | Max,125.86,m/min
Zone 4 | Capstan Speed | Min,114.14,m/min
Zone 4 | Coated Inner Diameter | Avg,92.79,µm
Zone 4 | Coated Inner Diameter | Max,93.4,µm
Zone 4 | Coated Inner Diameter | Min,92.2,µm
Zone 4 | Coated Outer Diameter | Avg,119.55,µm
Zone 4 | Coated Outer Diameter | Max,120.2,µm
Zone 4 | Coated Outer Diameter | Min,118.6,µm
