Parameter Name,Value,Units
Good Zone 1 (km from end) Start,0.01,km
Good Zone 1 (km from end) End,0.23,km
Good Zone 1 Length,0.22,km
Good Zone 1 Fibre Length Min,1.36,km
Good Zone 1 Fibre Length Max,1.58,km
Good Zone 2 (km from end) Start,0.51,km
Good Zone 2 (km from end) End,1,km
Good Zone 2 Length,0.49,km
Good Zone 2 Fibre Length Min,0.59,km
Good Zone 2 Fibre Length Max,1.08,km
Good Zone 3 (km from end) Start,1.16,km
Good Zone 3 (km from end) End,1.58,km
Good Zone 3 Length,0.42,km
Good Zone 3 Fibre Length Min,0.01,km
Good Zone 3 Fibre Length Max,0.43,km
T&M Step 1 Action,CUT,
T&M Step 1 Length,0.01,km
T&M Step 2 Action,SAVE,
T&M Step 2 Length,0.22,km
T&M Step 2 Zone,Good Zone 1,
T&M Step 3 Action,CUT,
T&M Step 3 Length,0.51,km
T&M Step 4 Action,SAVE,
T&M Step 4 Length,0.48,km
T&M Step 4 Zone,Good Zone 2,
T&M Step 5 Action,CUT,
T&M Step 5 Length,1.16,km
T&M Step 6 Action,SAVE,
T&M Step 6 Length,0.42,km
T&M Step 6 Zone,Good Zone 3,
Total Saved Length,1.12,km
Total Cut Length,1.68,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
