Parameter Name,Value,Units
Zone 4 | Coated Outer Diameter | Avg,574.05,µm
Zone 4 | Coated Outer Diameter | Max,575.0,µm
Zone 4 | Coated Outer Diameter | Min,573.1,µm
Zone 4 | Furnace DegC Actual | Avg,2029.99,C
Zone 4 | Furnace DegC Actual | Max,2030.49,C
Zone 4 | Furnace DegC Actual | Min,2029.42,C
Zone 4 | Tension N | Avg,109.04,g
Zone 4 | Tension N | Max,111.5,g
Zone 4 | Tension N | Min,106.83,g
Zone 5 | Start,2025-02-09 15:21:24.589000,index/label
Zone 5 | End,2025-02-09 15:31:20.589000,index/label
Zone 5 | Bare Fibre Diameter | Avg,431.26,µm
Zone 5 | Bare Fibre Diameter | Max,431.8,µm
Zone 5 | Bare Fibre Diameter | Min,430.7,µm
Zone 5 | Capstan Speed | Avg,8.04,m/min
Zone 5 | Capstan Speed | Max,8.16,m/min
Zone 5 | Capstan Speed | Min,7.97,m/min
Zone 5 | Coated Inner Diameter | Avg,492.13,µm
Zone 5 | Coated Inner Diameter | Max,492.5,µm
Zone 5 | Coated Inner Diameter | Min,491.7,µm
Zone 5 | Coated Outer Diameter | Avg,574.62,µm
Zone 5 | Coated Outer Diameter | Max,575.8,µm
Zone 5 | Coated Outer Diameter | Min,573.3,µm
Zone 5 | Furnace DegC Actual | Avg,2019.96,C
Zone 5 | Furnace DegC Actual | Max,2020.55,C
Zone 5 | Furnace DegC Actual | Min,2019.61,C
Zone 5 | Tension N | Avg,127.84,g
Zone 5 | Tension N | Max,130.65,g
Zone 5 | Tension N | Min,125.41,g
Zone 6 | Start,2025-02-09 15:46:05.589000,index/label
Zone 6 | End,2025-02-09 15:57:09.589000,index/label
Zone 6 | Bare Fibre Diameter | Avg,429.97,µm
Zone 6 | Bare Fibre Diameter | Max,430.5,µm
Zone 6 | Bare Fibre Diameter | Min,429.3,µm
Zone 6 | Capstan Speed | Avg,7.98,m/min
Zone 6 | Capstan Speed | Max,8.06,m/min
Zone 6 | Capstan Speed | Min,7.87,m/min
Zone 6 | Coated Inner Diameter | Avg,492.63,µm
Zone 6 | Coated Inner Diameter | Max,493.1,µm
Zone 6 | Coated Inner Diameter | Min,492.2,µm
Zone 6 | Coated Outer Diameter | Avg,575.15,µm
Zone 6 | Coated Outer Diameter | Max,576.4,µm
Zone 6 | Coated Outer Diameter | Min,573.6,µm
