Parameter Name,Value,Units
Zone 4 | Coated Outer Diameter | Max,578.4,µm
Zone 4 | Coated Outer Diameter | Min,571.1,µm
Zone 4 | Furnace DegC Actual | Avg,2063.62,C
Zone 4 | Furnace DegC Actual | Max,2070.81,C
Zone 4 | Furnace DegC Actual | Min,2054.14,C
Zone 4 | Tension N | Avg,66.31,g
Zone 4 | Tension N | Max,72.67,g
Zone 4 | Tension N | Min,54.45,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),0.97,km
Zone 1 | Fiber Length | Min,0.01,km
Zone 1 | Fiber Length | Max,0.24,km
Zone 2 | Fiber Length | Min,0.31,km
Zone 2 | Fiber Length | Max,0.53,km
Zone 3 | Fiber Length | Min,0.72,km
Zone 3 | Fiber Length | Max,0.95,km
Zone 4 | Fiber Length | Min,0.01,km
Zone 4 | Fiber Length | Max,0.95,km
,,
—,—,
CUT/SAVE Plan Source,P0509_p1.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),0.97,km
Fiber Length Min (log),,km
Fiber Length Max (log),0.97,km
T&M Coordinate System,,
Good Zones Order,,
Good Zone 1 (km from end) Start,0.73,km
Good Zone 1 (km from end) End,0.96,km
Good Zone 1 Length,0.23,km
Good Zone 1 Fibre Length Min,0.01,km
Good Zone 1 Fibre Length Max,0.24,km
Good Zone 2 (km from end) Start,0.44,km
Good Zone 2 (km from end) End,0.66,km
Good Zone 2 Length,0.22,km
Good Zone 2 Fibre Length Min,0.31,km
Good Zone 2 Fibre Length Max,0.53,km
Good Zone 3 (km from end) Start,0.02,km
Good Zone 3 (km from end) End,0.25,km
Good Zone 3 Length,0.23,km
Good Zone 3 Fibre Length Min,0.72,km
Good Zone 3 Fibre Length Max,0.95,km
Good Zone 4 (km from end) Start,0.02,km
Good Zone 4 (km from end) End,0.96,km
Good Zone 4 Length,0.94,km
Good Zone 4 Fibre Length Min,0.01,km
Good Zone 4 Fibre Length Max,0.95,km
T&M Step 1 Action,SAVE,
T&M Step 1 Length,0.97,km
T&M Step 1 Zone,Good Zone 1,
T&M Step 2 Action,CUT,
T&M Step 2 Length,0.01,km
T&M Step 3 Action,SAVE,
T&M Step 3 Length,0.95,km
T&M Step 3 Zone,Good Zone 2,
T&M Step 4 Action,CUT,
T&M Step 4 Length,0.01,km
T&M Step 5 Action,SAVE,
T&M Step 5 Length,0.95,km
T&M Step 5 Zone,Good Zone 3,
T&M Step 6 Action,CUT,
T&M Step 6 Length,0.01,km
T&M Step 7 Action,SAVE,
T&M Step 7 Length,0.95,km
T&M Step 7 Zone,Good Zone 4,
T&M Step 8 Action,CUT,
T&M Step 8 Length,0.72,km
T&M Step 9 Action,SAVE,
T&M Step 9 Length,0.24,km
T&M Step 9 Zone,Good Zone 5,
T&M Step 10 Action,CUT,
T&M Step 10 Length,0.43,km
T&M Step 11 Action,SAVE,
T&M Step 11 Length,0.22,km
T&M Step 11 Zone,Good Zone 6,
T&M Step 12 Action,CUT,
T&M Step 12 Length,0.01,km
T&M Step 13 Action,SAVE,
T&M Step 13 Length,0.23,km
T&M Step 13 Zone,Good Zone 7,
Total Saved Length,4.51,km
Total Cut Length,1.19,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
