Parameter Name,Value,Units
Zone 4 | Coated Outer Diameter | Avg,118.83,µm
Zone 4 | Coated Outer Diameter | Max,119.5,µm
Zone 4 | Coated Outer Diameter | Min,117.7,µm
Zone 4 | Furnace DegC Actual | Avg,2150.13,C
Zone 4 | Furnace DegC Actual | Max,2150.76,C
Zone 4 | Furnace DegC Actual | Min,2149.15,C
Zone 4 | Tension N | Avg,0.03,g
Zone 4 | Tension N | Max,0.07,g
Zone 4 | Tension N | Min,-0.02,g
Zone 5 | Start,2025-12-31 08:51:06.449000,index/label
Zone 5 | End,2025-12-31 10:27:02.449000,index/label
Zone 5 | Bare Fibre Diameter | Avg,93.61,µm
Zone 5 | Bare Fibre Diameter | Max,394.2,µm
Zone 5 | Bare Fibre Diameter | Min,32.8,µm
Zone 5 | Capstan Speed | Avg,26.5,m/min
Zone 5 | Capstan Speed | Max,88.7,m/min
Zone 5 | Capstan Speed | Min,0.0,m/min
Zone 5 | Coated Inner Diameter | Avg,63.5,µm
Zone 5 | Coated Inner Diameter | Max,1000.0,µm
Zone 5 | Coated Inner Diameter | Min,0.0,µm
Zone 5 | Coated Outer Diameter | Avg,72.19,µm
Zone 5 | Coated Outer Diameter | Max,1000.0,µm
Zone 5 | Coated Outer Diameter | Min,0.1,µm
Zone 5 | Furnace DegC Actual | Avg,2170.05,C
Zone 5 | Furnace DegC Actual | Max,2251.81,C
Zone 5 | Furnace DegC Actual | Min,2098.76,C
Zone 5 | Tension N | Avg,0.01,g
Zone 5 | Tension N | Max,0.08,g
Zone 5 | Tension N | Min,-0.05,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),2.68,km
Zone 1 | Fiber Length | Min,0.55,km
Zone 1 | Fiber Length | Max,0.64,km
Zone 2 | Fiber Length | Min,0.8,km
Zone 2 | Fiber Length | Max,1.06,km
Zone 3 | Fiber Length | Min,1.56,km
Zone 3 | Fiber Length | Max,1.92,km
Zone 4 | Fiber Length | Min,1.56,km
Zone 4 | Fiber Length | Max,1.92,km
Zone 5 | Fiber Length | Min,0,km
Zone 5 | Fiber Length | Max,2.54,km
,,
—,—,
CUT/SAVE Plan Source,T068_Avsl.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),2.68,km
Fiber Length Min (log),,km
Fiber Length Max (log),2.68,km
T&M Coordinate System,,
Good Zones Order,,
Good Zone 1 (km from end) Start,2.04,km
Good Zone 1 (km from end) End,2.13,km
Good Zone 1 Length,0.0899999999999999,km
Good Zone 1 Fibre Length Min,0.55,km
Good Zone 1 Fibre Length Max,0.64,km
Good Zone 2 (km from end) Start,1.62,km
Good Zone 2 (km from end) End,1.88,km
Good Zone 2 Length,0.26,km
Good Zone 2 Fibre Length Min,0.8,km
Good Zone 2 Fibre Length Max,1.06,km
Good Zone 3 (km from end) Start,0.76,km
Good Zone 3 (km from end) End,1.12,km
Good Zone 3 Length,0.36,km
Good Zone 3 Fibre Length Min,1.56,km
Good Zone 3 Fibre Length Max,1.92,km
Good Zone 4 (km from end) Start,0.76,km
Good Zone 4 (km from end) End,1.12,km
Good Zone 4 Length,0.36,km
Good Zone 4 Fibre Length Min,1.56,km
Good Zone 4 Fibre Length Max,1.92,km
Good Zone 5 (km from end) Start,0.14,km
Good Zone 5 (km from end) End,2.68,km
Good Zone 5 Length,2.54,km
Good Zone 5 Fibre Length Min,0,km
Good Zone 5 Fibre Length Max,2.54,km
T&M Step 1 Action,CUT,
T&M Step 1 Length,2.04,km
T&M Step 2 Action,SAVE,
T&M Step 2 Length,0.08,km
T&M Step 2 Zone,Good Zone 1,
T&M Step 3 Action,CUT,
T&M Step 3 Length,1.62,km
T&M Step 4 Action,SAVE,
T&M Step 4 Length,0.26,km
T&M Step 4 Zone,Good Zone 2,
T&M Step 5 Action,CUT,
T&M Step 5 Length,0.76,km
T&M Step 6 Action,SAVE,
T&M Step 6 Length,0.37,km
T&M Step 6 Zone,Good Zone 3,
T&M Step 7 Action,CUT,
T&M Step 7 Length,0.76,km
T&M Step 8 Action,SAVE,
T&M Step 8 Length,0.37,km
T&M Step 8 Zone,Good Zone 4,
T&M Step 9 Action,CUT,
T&M Step 9 Length,0.14,km
T&M Step 10 Action,SAVE,
T&M Step 10 Length,2.54,km
T&M Step 10 Zone,Good Zone 5,
Total Saved Length,3.62,km
Total Cut Length,5.32,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
