Parameter Name,Value,Units
Zone 4 | Coated Outer Diameter | Max,568.9,µm
Zone 4 | Coated Outer Diameter | Min,566.2,µm
Zone 4 | Furnace DegC Actual | Avg,2150.03,C
Zone 4 | Furnace DegC Actual | Max,2150.89,C
Zone 4 | Furnace DegC Actual | Min,2149.42,C
Zone 4 | Tension N | Avg,59.74,g
Zone 4 | Tension N | Max,61.57,g
Zone 4 | Tension N | Min,58.1,g
Zone 5 | Start,2025-08-20 11:23:32.716000,index/label
Zone 5 | End,2025-08-20 11:24:58.716000,index/label
Zone 5 | Bare Fibre Diameter | Avg,420.78,µm
Zone 5 | Bare Fibre Diameter | Max,421.8,µm
Zone 5 | Bare Fibre Diameter | Min,420.1,µm
Zone 5 | Capstan Speed | Avg,16.62,m/min
Zone 5 | Capstan Speed | Max,16.9,m/min
Zone 5 | Capstan Speed | Min,16.13,m/min
Zone 5 | Coated Inner Diameter | Avg,494.05,µm
Zone 5 | Coated Inner Diameter | Max,494.5,µm
Zone 5 | Coated Inner Diameter | Min,493.7,µm
Zone 5 | Coated Outer Diameter | Avg,570.52,µm
Zone 5 | Coated Outer Diameter | Max,571.6,µm
Zone 5 | Coated Outer Diameter | Min,569.2,µm
Zone 5 | Furnace DegC Actual | Avg,2125.05,C
Zone 5 | Furnace DegC Actual | Max,2125.63,C
Zone 5 | Furnace DegC Actual | Min,2124.96,C
Zone 5 | Tension N | Avg,60.41,g
Zone 5 | Tension N | Max,62.26,g
Zone 5 | Tension N | Min,58.92,g
Zone 6 | Start,2025-08-20 11:19:44.716000,index/label
Zone 6 | End,2025-08-20 11:20:31.716000,index/label
Zone 6 | Bare Fibre Diameter | Avg,420.64,µm
Zone 6 | Bare Fibre Diameter | Max,421.6,µm
Zone 6 | Bare Fibre Diameter | Min,419.8,µm
Zone 6 | Capstan Speed | Avg,13.74,m/min
Zone 6 | Capstan Speed | Max,13.92,m/min
Zone 6 | Capstan Speed | Min,13.63,m/min
Zone 6 | Coated Inner Diameter | Avg,494.57,µm
Zone 6 | Coated Inner Diameter | Max,494.8,µm
Zone 6 | Coated Inner Diameter | Min,494.3,µm
Zone 6 | Coated Outer Diameter | Avg,572.81,µm
Zone 6 | Coated Outer Diameter | Max,573.7,µm
Zone 6 | Coated Outer Diameter | Min,572.3,µm
Zone 6 | Furnace DegC Actual | Avg,2110.0,C
Zone 6 | Furnace DegC Actual | Max,2110.58,C
Zone 6 | Furnace DegC Actual | Min,2109.77,C
Zone 6 | Tension N | Avg,60.53,g
Zone 6 | Tension N | Max,62.02,g
Zone 6 | Tension N | Min,59.75,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),1.42,km
Zone 1 | Fiber Length | Min,1.26,km
Zone 1 | Fiber Length | Max,1.4,km
Zone 2 | Fiber Length | Min,0.92,km
Zone 2 | Fiber Length | Max,1,km
Zone 3 | Fiber Length | Min,0.75,km
Zone 3 | Fiber Length | Max,0.78,km
Zone 4 | Fiber Length | Min,0.65,km
Zone 4 | Fiber Length | Max,0.69,km
Zone 5 | Fiber Length | Min,0.58,km
Zone 5 | Fiber Length | Max,0.6,km
Zone 6 | Fiber Length | Min,0.52,km
Zone 6 | Fiber Length | Max,0.53,km
,,
—,—,
CUT/SAVE Plan Source,P0343_OCT.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),1.42,km
Fiber Length Min (log),,km
Fiber Length Max (log),1.42,km
T&M Coordinate System,,
Good Zones Order,,
Good Zone 1 (km from end) Start,0.02,km
Good Zone 1 (km from end) End,0.16,km
Good Zone 1 Length,0.14,km
Good Zone 1 Fibre Length Min,1.26,km
Good Zone 1 Fibre Length Max,1.4,km
Good Zone 2 (km from end) Start,0.42,km
Good Zone 2 (km from end) End,0.5,km
