Parameter Name,Value,Units
Good Zones Order,,
Good Zone 1 (km from end) Start,0.01,km
Good Zone 1 (km from end) End,0.39,km
Good Zone 1 Length,0.38,km
Good Zone 1 Fibre Length Min,0.36,km
Good Zone 1 Fibre Length Max,0.74,km
Good Zone 2 (km from end) Start,0.42,km
Good Zone 2 (km from end) End,0.45,km
Good Zone 2 Length,0.03,km
Good Zone 2 Fibre Length Min,0.3,km
Good Zone 2 Fibre Length Max,0.33,km
Good Zone 3 (km from end) Start,0.48,km
Good Zone 3 (km from end) End,0.54,km
Good Zone 3 Length,0.0600000000000001,km
Good Zone 3 Fibre Length Min,0.21,km
Good Zone 3 Fibre Length Max,0.27,km
T&M Step 1 Action,CUT,
T&M Step 1 Length,0.01,km
T&M Step 2 Action,SAVE,
T&M Step 2 Length,0.38,km
T&M Step 2 Zone,Good Zone 1,
T&M Step 3 Action,CUT,
T&M Step 3 Length,0.42,km
T&M Step 4 Action,SAVE,
T&M Step 4 Length,0.02,km
T&M Step 4 Zone,Good Zone 2,
T&M Step 5 Action,CUT,
T&M Step 5 Length,0.01,km
T&M Step 6 Action,SAVE,
T&M Step 6 Length,0.38,km
T&M Step 6 Zone,Good Zone 3,
T&M Step 7 Action,CUT,
T&M Step 7 Length,0.42,km
T&M Step 8 Action,SAVE,
T&M Step 8 Length,0.02,km
T&M Step 8 Zone,Good Zone 4,
T&M Step 9 Action,CUT,
T&M Step 9 Length,0.48,km
T&M Step 10 Action,SAVE,
T&M Step 10 Length,0.05,km
T&M Step 10 Zone,Good Zone 5,
Total Saved Length,0.85,km
Total Cut Length,1.34,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
