Parameter Name,Value,Units
Zone 3 | Fiber Length | Min,0.393468797206879,km
Zone 3 | Fiber Length | Max,0.456275969743729,km
,,
—,—,
CUT/SAVE Plan Source,P0460_1550_CIVAN.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),,km
Fiber Length Min (log),,km
Fiber Length Max (log),,km
T&M Coordinate System,,
Good Zones Order,,
Good Zone 1 Fibre Length Min,0.513944029808044,km
Good Zone 1 Fibre Length Max,2.21807432174683,km
Good Zone 2 Fibre Length Min,2.2742133140564,km
Good Zone 2 Fibre Length Max,6.76623153686523,km
Good Zone 3 Fibre Length Min,0.393468797206879,km
Good Zone 3 Fibre Length Max,0.456275969743729,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
