Parameter Name,Value,Units
Zone 4 | Coated Outer Diameter | Max,118.4,µm
Zone 4 | Coated Outer Diameter | Min,116.9,µm
Zone 4 | Furnace DegC Actual | Avg,2050.07,C
Zone 4 | Furnace DegC Actual | Max,2050.52,C
Zone 4 | Furnace DegC Actual | Min,2049.57,C
Zone 4 | Tension N | Avg,-0.16,g
Zone 4 | Tension N | Max,-0.12,g
Zone 4 | Tension N | Min,-0.19,g
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),2.38,km
Zone 1 | Fiber Length | Min,0.03,km
Zone 1 | Fiber Length | Max,0.47,km
Zone 2 | Fiber Length | Min,0.7,km
Zone 2 | Fiber Length | Max,1.06,km
Zone 3 | Fiber Length | Min,1.22,km
Zone 3 | Fiber Length | Max,1.65,km
Zone 4 | Fiber Length | Min,1.88,km
Zone 4 | Fiber Length | Max,2.29,km
,,
—,—,
CUT/SAVE Plan Source,SBS_1UV.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),2.38,km
Fiber Length Min (log),,km
Fiber Length Max (log),2.38,km
T&M Coordinate System,,
Good Zones Order,,
Good Zone 1 (km from end) Start,1.91,km
Good Zone 1 (km from end) End,2.35,km
Good Zone 1 Length,0.44,km
Good Zone 1 Fibre Length Min,0.03,km
Good Zone 1 Fibre Length Max,0.47,km
Good Zone 2 (km from end) Start,1.32,km
Good Zone 2 (km from end) End,1.68,km
Good Zone 2 Length,0.36,km
Good Zone 2 Fibre Length Min,0.7,km
Good Zone 2 Fibre Length Max,1.06,km
Good Zone 3 (km from end) Start,0.73,km
Good Zone 3 (km from end) End,1.16,km
Good Zone 3 Length,0.43,km
Good Zone 3 Fibre Length Min,1.22,km
Good Zone 3 Fibre Length Max,1.65,km
Good Zone 4 (km from end) Start,0.0899999999999999,km
Good Zone 4 (km from end) End,0.5,km
Good Zone 4 Length,0.41,km
Good Zone 4 Fibre Length Min,1.88,km
Good Zone 4 Fibre Length Max,2.29,km
T&M Step 1 Action,CUT,
T&M Step 1 Length,1.91,km
T&M Step 2 Action,SAVE,
T&M Step 2 Length,0.43,km
T&M Step 2 Zone,Good Zone 1,
T&M Step 3 Action,CUT,
T&M Step 3 Length,1.32,km
T&M Step 4 Action,SAVE,
T&M Step 4 Length,0.36,km
T&M Step 4 Zone,Good Zone 2,
T&M Step 5 Action,CUT,
T&M Step 5 Length,0.73,km
T&M Step 6 Action,SAVE,
T&M Step 6 Length,0.43,km
T&M Step 6 Zone,Good Zone 3,
T&M Step 7 Action,CUT,
T&M Step 7 Length,0.09,km
T&M Step 8 Action,SAVE,
T&M Step 8 Length,0.41,km
T&M Step 8 Zone,Good Zone 4,
Total Saved Length,1.63,km
Total Cut Length,4.05,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
