Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,P0414F_1,
Order__Draw Date,2023-09-10 08:00:00,
Order__Order Index,,
Order__Preform Number,P0414,
Order__Fiber Project,LARA - ELOP,
Order__Priority,Normal,
Order__Order Opener,,
Order__Fiber Geometry Type,Octagonal,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),24.5,mm
Order__Required Length (m) (for T&M+costumer),all,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),400.0,µm
Order__Main Coating Diameter (µm),475.0,µm
Order__Secondary Coating Diameter (µm),560.0,µm
Order__Tension (g),60.0,g
Order__Draw Speed (m/min),20.0,m/min
Order__Main Coating,Coating_OF_136,
Order__Secondary Coating,DP-1032,
Order__Main Coating Temperature (°C),28.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,400 - Octa,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2023-09-10 08:00:00,
Process__Preform Diameter,24.5,mm
Process__Preform Shape,Octagonal,
Process__Octagonal Preform,1,bool
Process__Octagonal F2F,24.5,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,471.43524757931834,mm^2
Process__Adjusted Area,471.43524757931834,mm^2
Process__Effective Preform Diameter,24.5,mm
Process__Selected Iris Diameter,30.0,mm
Process__Iris Gap Area,235.4230994783851,mm^2
Process__Entry Fiber Diameter,400.0,µm
Process__Target First Coating Diameter,475.0,µm
Process__Target Second Coating Diameter,560.0,µm
Process__First Coating Diameter (Theoretical),475.0,µm
Process__Second Coating Diameter (Theoretical),560.0,µm
Process__Primary Coating,Coating_OF_136,
Process__Secondary Coating,DP-1032,
Process__Primary Coating Temperature,28.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,,µm
Process__Secondary Die Diameter,,µm
Process__Primary Die Name,,
Process__Secondary Die Name,,
Process__Coating Die Selection Mode,Legacy Import,
Process__Draw Speed,20.0,m/min
Process__P Gain (Diameter Control),,
Process__I Gain (Diameter Control),,
Process__TF Mode,Winder,
Process__Increment TF Value,,
Process__Selected Drum,,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2023-09-10 08:00:00,
Dashboard Log File,,
Good Zones Count,2,count
Good Zones X Column,Fibre Length,
Zone 1 | Start,0.46,index/label
Zone 1 | End,1.249,index/label
Zone 1 | Bare Fibre Diameter | Avg,400.0,
Zone 1 | Bare Fibre Diameter | Min,400.0,
Zone 1 | Bare Fibre Diameter | Max,400.0,
Zone 1 | Capstan Speed | Avg,19.5,
Zone 1 | Capstan Speed | Min,19.5,
Zone 1 | Capstan Speed | Max,19.5,
Zone 1 | Tension N | Avg,63.0,g
Zone 1 | Tension N | Min,63.0,g
Zone 1 | Tension N | Max,63.0,g
Zone 1 | Furnace DegC Actual | Avg,2075.0,
Zone 1 | Furnace DegC Actual | Min,2075.0,
Zone 1 | Furnace DegC Actual | Max,2075.0,
Zone 1 | Furnace DegC Set | Avg,2075.0,
Zone 1 | Furnace DegC Set | Min,2075.0,
Zone 1 | Furnace DegC Set | Max,2075.0,
Zone 1 | Fibre Length | Avg,0.8545,
Zone 1 | Fibre Length | Min,0.46,
Zone 1 | Fibre Length | Max,1.249,
Zone 1 | Coated Inner Diameter | Avg,475.0,
Zone 1 | Coated Inner Diameter | Min,475.0,
Zone 1 | Coated Inner Diameter | Max,475.0,
Zone 1 | Coated Outer Diameter | Avg,560.0,
Zone 1 | Coated Outer Diameter | Min,560.0,
Zone 1 | Coated Outer Diameter | Max,560.0,
Zone 1 | Pf Process Position | Avg,250.10999999999999,
Zone 1 | Pf Process Position | Min,137.38,
Zone 1 | Pf Process Position | Max,362.84,
Good Zone 1 (km from end) Start,0.2879999999999998,km
Good Zone 1 (km from end) End,1.077,km
Good Zone 1 Length,0.7890000000000001,km
Good Zone 1 Fibre Length Min,0.46,km
Good Zone 1 Fibre Length Max,1.249,km
Zone 2 | Start,1.361,index/label
Zone 2 | End,1.52,index/label
Zone 2 | Bare Fibre Diameter | Avg,400.0,
Zone 2 | Bare Fibre Diameter | Min,400.0,
Zone 2 | Bare Fibre Diameter | Max,400.0,
Zone 2 | Capstan Speed | Avg,19.5,
Zone 2 | Capstan Speed | Min,19.5,
Zone 2 | Capstan Speed | Max,19.5,
Zone 2 | Tension N | Avg,63.0,g
Zone 2 | Tension N | Min,63.0,g
Zone 2 | Tension N | Max,63.0,g
Zone 2 | Furnace DegC Actual | Avg,2075.0,
Zone 2 | Furnace DegC Actual | Min,2075.0,
Zone 2 | Furnace DegC Actual | Max,2075.0,
Zone 2 | Furnace DegC Set | Avg,2075.0,
Zone 2 | Furnace DegC Set | Min,2075.0,
Zone 2 | Furnace DegC Set | Max,2075.0,
Zone 2 | Fibre Length | Avg,1.4405000000000001,
Zone 2 | Fibre Length | Min,1.361,
Zone 2 | Fibre Length | Max,1.52,
Zone 2 | Coated Inner Diameter | Avg,475.0,
Zone 2 | Coated Inner Diameter | Min,475.0,
Zone 2 | Coated Inner Diameter | Max,475.0,
Zone 2 | Coated Outer Diameter | Avg,560.0,
Zone 2 | Coated Outer Diameter | Min,560.0,
Zone 2 | Coated Outer Diameter | Max,560.0,
Zone 2 | Pf Process Position | Avg,417.15,
Zone 2 | Pf Process Position | Min,394.74,
Zone 2 | Pf Process Position | Max,439.56,
Good Zone 2 (km from end) Start,0.016999999999999904,km
Good Zone 2 (km from end) End,0.17599999999999993,km
Good Zone 2 Length,0.15900000000000003,km
Good Zone 2 Fibre Length Min,1.361,km
Good Zone 2 Fibre Length Max,1.52,km
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,,
Fiber Length | End (log end),1.537,km
Zone 1 | Fiber Length | Min,0.46,km
Zone 1 | Fiber Length | Max,1.249,km
Zone 2 | Fiber Length | Min,1.361,km
Zone 2 | Fiber Length | Max,1.52,km
,,
—,—,
CUT/SAVE Plan Source,P0414F_1.csv,
AUTO Plan Mode,Legacy import from cuts/good fiber,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),1.537,km
Fiber Length Min (log),0.0,km
Fiber Length Max (log),1.537,km
T&M Coordinate System,km_from_end = (L_end - FibreLength),
Good Zones Order,Ordered from spool end → toward start,
T&M Step 1 Action,CUT,
T&M Step 1 Length,0.01,km
T&M Step 2 Action,SAVE,
T&M Step 2 Length,0.159,km
T&M Step 2 Zone,Good Zone 1,
T&M Step 2 Fibre Length Min,0.46,km
T&M Step 2 Fibre Length Max,1.249,km
T&M Step 3 Action,CUT,
T&M Step 3 Length,0.112,km
T&M Step 4 Action,SAVE,
T&M Step 4 Length,0.789,km
T&M Step 4 Zone,Good Zone 2,
T&M Step 4 Fibre Length Min,1.361,km
T&M Step 4 Fibre Length Max,1.52,km
Total Saved Length,0.9480000000000001,km
Total Cut Length,0.122,km
Preform Length After Draw,442.61,cm
Done Description,,
Done Timestamp,2023-09-10 08:00:00,
