Parameter Name,Value,Units
T&M Step 2 Action,SAVE,
T&M Step 2 Length,0.492,km
T&M Step 2 Zone,Good Zone 1,
T&M Step 2 Fibre Length Min,1.002,km
T&M Step 2 Fibre Length Max,1.493,km
T&M Step 3 Action,CUT,
T&M Step 3 Length,0.592,km
T&M Step 4 Action,SAVE,
T&M Step 4 Length,0.493,km
T&M Step 4 Zone,Good Zone 2,
T&M Step 4 Fibre Length Min,2.085,km
T&M Step 4 Fibre Length Max,2.577,km
Total Saved Length,0.985,km
Total Cut Length,0.617,km
Preform Length After Draw,82.17,cm
Done Description,,
Done Timestamp,2024-08-12 08:00:00,
